,Amphitheater_id,date_built,pleiades_region,minRegionDate,maxRegionDate,built_after_founding
61,ocriculumAmphitheater,50,Ocriculum,-750.0,2100.0,800.0
62,lixusAmphitheater,50,Lixus,-750.0,640.0,800.0
63,larinumAmphitheater,50,Larinum,-750.0,2100.0,800.0
64,allifaeAmphitheater,50,Al(l)ifae,-330.0,640.0,380.0
65,hydataHypsitanaForumTraianiAmphitheatre,50,Hydata Hypsitana/Forum Traiani,-30.0,2100.0,80.0
66,luccaAmphitheater,50,Luca,-330.0,2100.0,380.0
67,hispellumAmphitheatre,50,Hispellum,-330.0,640.0,380.0
68,aquincumCivilAmphitheater,50,Aquincum,-30.0,2100.0,80.0
69,aquincumMilitaryAmphitheater,50,Aquincum,-30.0,2100.0,80.0
70,aldburoughAmphitheater,50,Isurium,-30.0,2100.0,80.0
71,perigueuxAmphitheatre,50,Vesunna,-30.0,2100.0,80.0
72,cividateCamunoAmphitheater,50,*Civitas Camunnorum,-30.0,640.0,80.0
73,grumentoAmphitheater,50,Grumentum,-750.0,2100.0,800.0
74,tiburAmphitheater,50,Tibur,-750.0,640.0,800.0
75,caerleonAmphitheater,50,Isca,-30.0,2100.0,80.0
76,saintesAmphitheatre,50,Mediolanum,-30.0,2100.0,80.0
77,assisiAmphitheatre,50,Asisium,-550.0,2100.0,600.0
78,mactarisAmphitheater,50,Mactaris,-330.0,640.0,380.0
79,miciaAmphitheater,50,Micia,-30.0,300.0,80.0
80,anazarbusAmphitheater,50,Anazarbos/Caesarea/Ioustin(ian)oupolis,-330.0,2100.0,380.0
81,cyzicusAmphitheater,50,Cyzicus,-1200.0,2000.0,1250.0
82,salamisAmphitheater,50,Salamis/Konstantia,-750.0,640.0,800.0
83,paphosAmphitheater,50,(Nea) Paphos,-550.0,640.0,600.0
84,caerwentAmphitheater,50,Venta,-30.0,640.0,80.0
85,tomen-y-murAmphitheater,50,Tomen y mur,-30.0,300.0,80.0
86,thaenaeAmphitheater,50,Thaenae,-330.0,640.0,380.0
87,susaAmphitheater,50,Segusio,-330.0,2100.0,380.0
88,ivreaAmphitheater,50,Eporedia,-30.0,2100.0,80.0
89,ptolemaisAmphitheater,50,Ptolemais/Barkes Limen,-750.0,640.0,800.0
90,toulouseAmphitheater,50,Tolosa,-330.0,2100.0,380.0
91,caparraAmphitheater,50,Capera,-30.0,640.0,80.0
92,poitiersAmphitheater,50,Limonum,-330.0,2100.0,380.0
93,reimsAmphitheater,50,Durocortorum,-330.0,2100.0,380.0
94,rodezAmphitheater,50,Segodunum,-330.0,2100.0,380.0
95,aquileiaAmphitheater,50,Aquileia,-330.0,1453.0,380.0
96,lecceAmphitheater,50,Lupia(e),-330.0,2100.0,380.0
97,sanBenedettoDeiMarsiAmphitheater,50,Marruvium,-330.0,2100.0,380.0
98,monteleoneAmphitheater,50,Trebula Mutuesca,-330.0,640.0,380.0
